state,population,playing_points,theaters
ALABAMA,2138093,37,43
ARIZONA,204354,17,20
ARKANSAS,1574449,60,63
COLORADO,799024,45,56
CONNECTICUT,1114756,36,42
DELAWARE,202322,13,14
GEORGIA,2609121,78,86
IDAHO,325594,34,34
ILLINOIS,5638591,196,272
INDIANA,2700876,144,167
IOWA,2224771,216,232
KANSAS,1690949,139,151
LOUISIANA,1656388,45,55
MAINE,742371,53,59
MARYLAND,1294346,30,46
MASSACHUSETTS,3366416,75,144
MICHIGAN,2810173,137,176
MINNESOTA,2075708,128,105
MISSISSIPPI,1797114,49,49
MISSOURI,3293335,121,162
MONTANA,376053,22,32
NEBRASKA,1192214,100,110
NEVADA,81875,13,14
NEW HAMPSHIRE,430572,22,24
NEW JERSEY,2 537167,46,82
NEW MEXICO,327301,15,15
NEW YORK,9113614,199,402
NORTH CAROLINA,2206287,70,74
NORTH DAKOTA,577056,32,33
OHIO,4767121,157,210
OKLAHOMA,1657155,67,73
OREGON,672765,20,26
PENNSYLVANIA,7665111,179,289
RHODE ISLAND,542610,11,26
SOUTH CAROLINA,1515400,44,45
SOUTH DAKOTA,583888,47,48
TENNESSEE,2184789,56,68
TEXAS,3896542,164,182
VERMONT,355956,24,24
VIRGINIA,2061612,54,69
WASHINGTON,1141990,45,68
WEST VIRGINIA,1221119,50,56
WISCONSIN,2333860,98,117
WYOMING,145965,17,19
